airline,origin,dest,month,day_of_week,hour,distance,delayed
IX,CCU,BOM,3,4,15,1030,1
AS,DEN,ORD,6,3,17,888,1
B6,LAX,LAS,11,3,7,1065,1
6E,GOI,BOM,8,3,22,265,1
AS,LAX,PHX,10,5,9,530,0
NK,BOS,DEN,9,2,14,1159,0
AA,LAX,ATL,9,4,7,1946,1
IX,CCU,AMD,1,1,10,838,0
UK,CCU,DEL,12,5,17,810,1
DL,PHX,MIA,12,4,6,1313,0
SG,COK,PNQ,6,0,17,328,1
WN,ORD,ATL,9,2,5,606,1
AA,PHX,SFO,11,1,10,364,1
SG,BLR,BOM,7,2,16,520,1
IX,PNQ,BOM,1,1,16,90,1
QP,HYD,MAA,5,2,19,320,1
AA,LAX,LAS,2,4,10,1043,0
UK,AMD,DEL,9,2,10,470,0
AS,SEA,ORD,2,2,8,553,0
AS,BOS,ATL,6,2,19,234,0
6E,BLR,COK,3,5,10,230,0
AI,BLR,AMD,9,4,18,521,1
AI,MAA,GOI,12,3,6,467,1
B6,ORD,SFO,6,4,16,770,1
F9,DFW,LAX,12,5,10,1235,1
UK,BLR,DEL,3,0,22,1080,1
SG,GOI,COK,7,6,10,844,0
QP,BOM,AMD,12,4,11,275,1
6E,BOM,AMD,2,6,21,275,0
B6,DEN,SFO,9,4,22,761,1
DL,LAS,MIA,3,0,10,1365,0
AS,PHX,LAX,6,4,17,179,1
SG,BLR,MAA,11,4,20,180,1
WN,LAX,SFO,7,2,18,337,1
F9,LAX,SFO,8,0,13,337,1
UA,DFW,LAX,5,2,11,1235,0
AS,DFW,LAS,7,6,20,701,1
B6,MIA,BOS,5,3,16,1258,1
AI,BOM,MAA,3,0,16,640,1
QP,CCU,BLR,8,0,14,970,0
QP,CCU,AMD,4,4,5,614,1
F9,PHX,BOS,5,0,19,1234,1
NK,ATL,DEN,8,0,13,821,1
6E,AMD,GOI,5,4,20,402,1
UK,PNQ,MAA,7,6,15,1298,1
6E,DEL,BOM,2,1,12,710,0
QP,BLR,HYD,7,3,12,310,1
QP,GOI,COK,9,1,12,155,0
SG,AMD,BOM,4,6,14,275,0
NK,LAX,SFO,3,6,18,337,1
SG,AMD,CCU,1,2,19,305,1
QP,AMD,PNQ,10,6,19,1359,1
F9,DEN,LAS,2,3,8,247,1
WN,LAS,ATL,1,6,7,186,1
UA,MIA,DEN,5,0,12,1361,0
QP,CCU,AMD,9,0,10,396,0
UK,COK,CCU,6,5,14,1152,1
SG,BLR,CCU,2,1,6,970,1
B6,SEA,DEN,3,4,16,1024,1
6E,CCU,HYD,12,3,22,740,1
F9,DEN,ATL,4,5,18,1205,1
SG,COK,DEL,5,1,18,1280,1
QP,MAA,AMD,1,0,18,838,1
UK,BOM,HYD,7,0,6,390,1
F9,DFW,DEN,5,4,18,641,1
B6,MIA,SEA,6,5,5,258,0
AA,SFO,LAX,5,5,7,337,1
IX,MAA,DEL,2,1,16,1090,1
IX,GOI,BOM,11,3,9,265,1
UK,MAA,DEL,1,2,18,1090,1
SG,HYD,CCU,9,2,15,740,1
DL,LAX,BOS,1,3,19,1263,1
NK,JFK,LAX,3,3,14,2475,1
IX,DEL,GOI,7,1,11,940,0
AI,CCU,COK,1,2,18,1374,1
6E,HYD,BOM,1,3,7,390,1
WN,DEN,BOS,9,5,8,1375,1
UK,GOI,BLR,3,6,21,310,0
B6,LAS,JFK,3,4,22,484,1
IX,GOI,HYD,4,0,17,550,1
AA,PHX,LAS,7,1,5,256,1
AI,MAA,GOI,4,6,11,1224,1
QP,BOM,GOI,1,5,9,265,1
UK,GOI,HYD,9,5,15,614,0
6E,HYD,COK,11,6,16,264,1
IX,CCU,DEL,11,2,11,810,0
6E,DEL,COK,10,4,9,1280,0
WN,LAX,SFO,9,6,10,337,0
UK,BLR,CCU,2,0,12,970,1
AS,SFO,SEA,1,2,8,679,0
6E,HYD,MAA,8,2,18,320,0
AS,MIA,SFO,6,0,17,1341,1
NK,DFW,LAX,1,0,6,1235,1
QP,COK,BOM,11,1,5,670,1
AA,SFO,DFW,1,6,11,1209,1
UK,GOI,HYD,6,2,17,955,1
UK,CCU,GOI,9,1,16,379,1
IX,BOM,AMD,2,0,16,275,1
AI,CCU,DEL,3,4,17,810,1
6E,GOI,DEL,10,2,17,940,1
SG,MAA,BLR,5,0,12,180,1
IX,CCU,PNQ,4,4,12,644,0
AS,PHX,SFO,3,2,16,687,1
F9,LAS,ATL,8,0,7,1023,1
UA,ATL,ORD,4,4,9,606,1
F9,JFK,DFW,6,4,9,1391,1
SG,DEL,CCU,10,0,13,810,1
SG,COK,CCU,5,3,6,288,0
B6,MIA,SFO,4,5,5,577,1
DL,BOS,PHX,1,6,12,895,1
UA,ORD,SEA,1,5,19,871,1
B6,DFW,PHX,9,2,8,989,0
B6,DEN,SFO,8,3,22,1262,1
QP,BOM,HYD,10,2,10,390,0
NK,BOS,JFK,11,5,8,187,1
6E,GOI,AMD,8,4,20,637,1
B6,LAX,ATL,8,5,7,1946,1
SG,PNQ,DEL,12,6,20,730,1
NK,LAS,ORD,10,0,18,1254,1
QP,HYD,BOM,5,3,11,390,0
DL,DEN,LAX,12,5,19,862,0
UK,AMD,CCU,5,0,20,1092,1
AA,PHX,SFO,1,0,7,1262,1
DL,DEN,SEA,1,3,20,1024,0
IX,DEL,BOM,2,3,18,710,1
AI,HYD,COK,6,2,13,1055,1
UA,SFO,DEN,11,5,20,300,1
6E,BLR,CCU,11,3,5,970,1
NK,BOS,PHX,8,4,7,940,0
IX,AMD,COK,11,4,8,783,1
UK,GOI,MAA,11,1,8,672,0
SG,AMD,GOI,8,5,9,809,0
UK,DEL,MAA,12,5,20,1090,1
QP,CCU,MAA,9,2,20,850,1
AA,LAS,PHX,9,1,6,256,1
DL,LAS,LAX,7,6,21,1280,0
SG,AMD,HYD,10,3,9,246,1
IX,GOI,COK,2,6,6,858,1
6E,BOM,COK,2,1,12,670,0
DL,SFO,DEN,1,5,18,979,1
AA,DFW,ORD,6,6,5,707,1
6E,DEL,CCU,9,5,18,810,0
UA,LAS,JFK,9,4,6,1140,1
B6,SFO,SEA,8,5,6,679,0
AI,BOM,PNQ,8,5,6,90,0
SG,COK,HYD,3,5,17,1225,1
NK,DFW,BOS,4,6,14,155,0
AS,SEA,PHX,11,2,16,1107,0
NK,SEA,LAX,9,0,5,954,1
UK,BOM,COK,1,2,21,670,1
WN,DFW,ATL,1,2,19,1264,0
AI,AMD,MAA,1,0,11,497,0
WN,DEN,DFW,8,0,7,641,1
UA,JFK,ATL,2,5,11,760,0
IX,BLR,AMD,4,5,22,392,0
NK,DEN,LAS,1,5,21,528,1
6E,BOM,BLR,6,0,14,520,1
IX,HYD,GOI,12,4,10,1045,0
B6,DFW,JFK,10,3,6,1391,0
AI,BOM,COK,1,1,18,670,1
F9,LAX,BOS,5,0,15,903,1
6E,GOI,COK,5,0,16,763,1
WN,JFK,ATL,10,1,5,760,1
F9,DFW,JFK,10,2,8,1391,0
AS,LAS,DFW,6,6,17,692,0
AA,DFW,DEN,3,2,18,641,1
B6,MIA,SFO,10,5,6,257,1
UK,BLR,HYD,11,1,11,310,1
WN,ATL,SEA,4,2,13,527,1
SG,BOM,COK,10,6,22,670,1
UA,SFO,MIA,9,3,21,849,0
SG,COK,HYD,9,6,6,922,1
B6,MIA,ORD,8,3,13,1339,0
SG,HYD,PNQ,6,0,15,955,1
F9,LAS,MIA,9,5,10,654,0
UK,CCU,BLR,7,1,8,970,1
AS,PHX,LAS,5,6,16,256,0
NK,LAX,PHX,3,1,7,618,1
AA,MIA,LAS,11,5,19,663,1
B6,DFW,ATL,10,4,16,233,1
DL,BOS,ATL,11,1,9,1307,1
QP,CCU,MAA,10,1,21,850,1
UA,BOS,PHX,11,1,15,366,0
UA,DEN,ATL,5,6,19,720,1
WN,MIA,LAX,2,1,10,921,1
IX,BLR,CCU,4,5,6,970,0
B6,LAS,MIA,8,1,5,1082,1
WN,SEA,LAS,4,1,7,861,0
NK,DEN,ORD,7,3,12,888,0
UA,JFK,MIA,3,6,17,1090,1
DL,JFK,MIA,6,3,10,1090,1
IX,COK,PNQ,9,6,16,1132,1
NK,DFW,SEA,11,6,7,683,1
AS,ORD,JFK,12,6,10,740,1
QP,HYD,BOM,2,0,15,390,0
DL,ORD,SFO,8,1,7,947,1
6E,HYD,CCU,4,1,19,740,1
WN,SEA,ATL,11,5,13,1017,1
AA,ORD,SFO,10,3,20,581,1
UA,DEN,PHX,6,5,22,1061,0
SG,MAA,CCU,3,5,21,850,1
DL,DFW,ATL,5,2,8,1127,1
F9,MIA,SFO,9,4,5,946,1
UK,MAA,DEL,12,0,7,1090,1
DL,DEN,LAS,11,1,11,573,0
UK,BLR,CCU,12,3,9,970,1
F9,SFO,DEN,12,6,18,893,1
IX,DEL,BOM,3,5,20,710,0
F9,DFW,ATL,7,2,8,669,0
B6,ATL,PHX,5,3,14,1182,0
6E,GOI,BOM,6,2,17,265,0
SG,CCU,HYD,12,6,22,740,1
AI,BLR,BOM,2,1,15,520,1
AA,DFW,DEN,2,5,20,641,1
AI,GOI,HYD,6,3,19,1389,1
SG,GOI,BOM,3,0,8,265,1
DL,SFO,MIA,7,0,20,1131,1
QP,DEL,AMD,8,2,22,470,1
SG,PNQ,MAA,6,4,13,867,1
UK,MAA,HYD,5,1,15,320,0
WN,SFO,JFK,7,0,18,1100,1
NK,SEA,PHX,4,6,5,1107,0
QP,PNQ,HYD,10,3,5,1392,1
SG,AMD,GOI,10,2,21,558,0
AS,DEN,SFO,8,3,20,1362,0
NK,PHX,SFO,8,0,17,768,1
SG,DEL,MAA,3,2,12,1090,1
SG,AMD,COK,6,5,21,164,1
AI,COK,DEL,4,3,11,1280,0
AA,DFW,JFK,11,6,14,1391,1
NK,SEA,LAS,11,6,18,592,1
NK,SEA,SFO,3,5,14,679,0
SG,COK,BOM,5,0,10,670,0
AA,DEN,PHX,10,3,11,648,0
IX,MAA,COK,9,2,20,340,1
SG,COK,GOI,1,1,9,174,1
IX,BOM,MAA,8,1,16,640,1
WN,JFK,LAX,3,6,15,2475,0
DL,PHX,LAS,1,0,15,256,0
IX,PNQ,CCU,10,0,20,1215,0
6E,BOM,HYD,2,0,16,390,1
SG,DEL,AMD,2,1,10,470,0
6E,BLR,COK,12,1,6,230,0
UK,DEL,MAA,1,6,17,1090,1
AS,ATL,DEN,5,5,14,1120,0
IX,DEL,HYD,5,1,20,780,0
UK,COK,GOI,9,0,12,702,0
UK,BLR,CCU,7,2,17,970,1
QP,CCU,BOM,10,1,8,1030,0
QP,COK,BLR,8,2,7,230,0
NK,LAS,JFK,1,5,11,305,1
UA,MIA,JFK,4,0,8,1090,0
UA,MIA,BOS,1,1,21,1258,1
6E,COK,AMD,8,4,9,840,0
SG,DEL,COK,10,5,10,1280,1
F9,LAS,LAX,4,2,5,1243,1
6E,BOM,BLR,11,5,8,520,0
DL,JFK,DEN,2,2,17,172,0
WN,JFK,LAX,9,5,19,2475,1
WN,JFK,LAS,8,0,18,1261,1
B6,MIA,SFO,7,2,17,219,1
B6,LAS,ATL,3,6,7,950,0
UK,DEL,HYD,10,4,20,780,0
AS,SEA,DFW,3,2,7,527,0
AS,SEA,MIA,9,4,8,1066,1
6E,GOI,CCU,2,6,17,449,1
DL,DFW,MIA,9,1,22,357,0
QP,MAA,CCU,9,3,21,850,1
WN,SFO,DEN,12,6,19,1066,1
B6,ORD,SFO,11,3,15,228,0
AA,ORD,DFW,9,0,14,1318,0
SG,BOM,DEL,3,0,21,710,1
WN,MIA,DFW,7,0,16,161,0
UA,MIA,ATL,1,5,10,595,1
IX,BLR,AMD,1,2,21,765,1
6E,BLR,DEL,5,4,17,1080,1
AS,LAS,DFW,9,3,6,865,1
UA,LAS,ATL,1,1,18,967,1
IX,BOM,MAA,4,1,12,640,0
SG,BLR,PNQ,5,2,22,460,0
6E,MAA,GOI,9,2,14,1330,0
F9,SFO,JFK,8,1,6,583,1
DL,LAX,ATL,8,3,21,1946,0
6E,GOI,COK,9,3,13,832,1
NK,SEA,ORD,3,3,5,942,1
B6,SEA,DFW,3,0,22,373,0
AA,DFW,SEA,5,1,20,314,0
F9,JFK,PHX,1,6,22,963,1
AI,GOI,AMD,9,5,16,542,1
AI,COK,BOM,2,6,22,670,1
F9,SFO,LAS,2,4,16,414,1
QP,MAA,COK,8,2,8,340,1
WN,BOS,LAX,8,2,22,1010,1
QP,BOM,AMD,9,2,17,275,1
AI,COK,BOM,6,4,21,670,1
DL,JFK,SEA,1,2,5,392,0
AA,SEA,DEN,8,1,12,1024,1
AS,SEA,ATL,9,1,7,239,0
WN,JFK,MIA,5,0,7,1090,1
UA,SEA,LAS,10,6,17,1246,1
SG,GOI,BLR,1,6,14,310,0
UK,CCU,COK,6,1,5,1383,1
6E,COK,HYD,12,4,21,925,0
F9,ATL,DFW,4,0,20,790,1
WN,DEN,ORD,4,2,18,888,1
UK,BOM,CCU,11,3,21,1030,1
AS,DEN,JFK,12,3,20,296,0
F9,SFO,ORD,7,2,8,763,1
DL,ORD,SFO,7,1,7,461,1
AA,SEA,LAX,12,2,5,954,1
SG,MAA,BLR,7,0,20,180,1
QP,DEL,COK,9,2,11,1280,1
UK,HYD,AMD,8,0,15,402,1
UK,CCU,AMD,11,1,15,560,1
QP,PNQ,HYD,4,5,21,297,0
AA,DFW,BOS,2,4,6,1128,1
SG,CCU,AMD,8,6,19,341,1
F9,PHX,SFO,9,4,10,1066,0
IX,CCU,BOM,8,5,20,1030,1
SG,BOM,GOI,5,3,15,265,0
NK,SFO,ATL,9,4,10,687,1
IX,MAA,CCU,12,3,9,850,1
AA,LAX,ORD,12,1,22,1744,1
QP,PNQ,DEL,1,2,11,730,0
QP,PNQ,MAA,7,6,11,1355,0
SG,COK,BOM,8,5,5,670,0
F9,ORD,MIA,6,5,21,730,1
NK,DFW,PHX,8,0,13,528,0
AS,PHX,SFO,1,5,8,522,1
IX,MAA,COK,8,2,5,340,1
B6,SFO,JFK,11,0,5,1130,1
AI,CCU,BLR,3,0,5,970,1
F9,DEN,SEA,10,6,14,1024,1
6E,MAA,GOI,3,5,22,1148,0
AS,PHX,LAX,1,2,21,454,1
QP,MAA,HYD,10,1,14,320,0
SG,DEL,GOI,3,2,21,940,0
F9,SFO,PHX,1,2,6,161,1
DL,BOS,SFO,6,5,19,829,1
6E,AMD,BOM,6,3,22,275,0
NK,MIA,JFK,5,6,9,1090,1
SG,GOI,AMD,5,0,19,982,1
IX,BLR,BOM,6,5,16,520,1
AI,DEL,MAA,8,0,5,1090,1
6E,DEL,COK,6,5,17,1280,1
UK,CCU,BLR,11,6,21,970,0
SG,BOM,MAA,11,0,7,640,1
F9,PHX,BOS,2,6,17,425,1
WN,MIA,ATL,3,6,5,595,1
IX,GOI,BOM,3,0,16,265,1
AS,ORD,DFW,8,1,11,211,1
F9,DEN,LAS,12,2,11,1042,0
6E,DEL,HYD,3,4,12,780,0
6E,GOI,DEL,3,6,18,940,1
WN,SFO,ORD,4,1,16,740,0
F9,MIA,ORD,8,1,9,1215,1
DL,LAX,SFO,2,4,5,337,1
SG,PNQ,MAA,12,3,9,1165,0
AS,DFW,JFK,2,1,18,1391,0
DL,DFW,LAX,10,2,5,1235,1
SG,PNQ,BLR,6,6,22,460,1
WN,LAS,JFK,9,1,9,1094,0
UK,COK,HYD,6,4,22,963,0
SG,COK,BOM,3,6,7,670,1
B6,SEA,LAS,5,4,5,237,0
QP,GOI,BLR,4,4,17,310,1
QP,HYD,GOI,10,3,12,621,0
F9,BOS,SEA,11,3,12,725,1
UA,DEN,SEA,1,3,6,1024,1
6E,HYD,GOI,1,2,8,592,0
DL,LAS,SFO,5,1,21,414,0
NK,SEA,BOS,8,5,19,431,1
QP,AMD,PNQ,11,6,19,320,1
AS,BOS,ORD,5,1,17,867,0
F9,ATL,SEA,10,3,6,379,1
UA,SFO,LAS,8,5,13,414,0
AS,JFK,LAS,2,3,7,951,0
UK,HYD,COK,6,6,14,678,0
DL,LAS,ATL,9,1,21,337,1
B6,SFO,LAS,11,3,11,414,0
WN,BOS,DFW,4,0,21,522,1
QP,MAA,HYD,9,1,14,320,1
IX,MAA,HYD,8,3,17,320,1
UA,BOS,DFW,7,5,11,455,0
DL,DFW,LAX,5,5,6,1235,0
IX,BLR,MAA,2,4,8,180,1
F9,JFK,BOS,3,2,21,187,0
DL,DFW,SEA,7,0,17,702,0
DL,ORD,LAX,7,0,13,1744,1
F9,MIA,DFW,1,5,9,1039,1
WN,MIA,SFO,2,4,16,470,1
WN,SEA,LAS,7,0,11,309,1
UK,CCU,DEL,3,3,22,810,0
UK,GOI,MAA,12,0,18,1291,0
AA,PHX,MIA,2,4,21,1064,1
QP,CCU,AMD,12,5,13,315,1
IX,DEL,CCU,1,6,16,810,1
B6,ORD,DFW,2,6,6,758,1
SG,AMD,BOM,1,5,11,275,0
NK,PHX,LAS,7,3,16,256,1
AA,SFO,JFK,5,4,9,1248,1
AI,COK,HYD,6,3,19,826,1
AI,BOM,COK,12,4,19,670,1
DL,JFK,ATL,4,0,17,760,1
UA,SFO,LAX,9,0,21,337,1
6E,HYD,BLR,4,3,15,310,1
AA,ORD,MIA,2,0,19,535,1
UK,COK,AMD,8,2,13,1069,1
6E,HYD,GOI,6,1,13,1300,1
AI,PNQ,COK,6,6,17,1300,1
AI,DEL,BOM,10,3,7,710,1
AI,BLR,GOI,6,6,9,310,1
UK,MAA,PNQ,6,5,5,1397,1
AI,AMD,CCU,11,0,9,1360,1
QP,PNQ,CCU,3,2,21,1048,1
IX,BLR,MAA,11,0,6,180,0
6E,GOI,CCU,11,5,9,988,1
AI,MAA,AMD,2,5,6,633,0
UK,AMD,BLR,7,4,16,1359,1
B6,PHX,ATL,8,3,7,1244,0
F9,BOS,PHX,12,5,20,289,1
UK,AMD,PNQ,11,5,17,1345,0
DL,SFO,BOS,1,3,19,1349,0
DL,LAS,DEN,11,6,21,1320,0
AA,LAS,MIA,3,5,8,583,0
IX,COK,GOI,9,0,16,901,1
AA,SEA,MIA,8,0,9,1228,0
DL,ATL,SEA,2,1,10,1352,1
UK,BOM,BLR,2,4,15,520,1
AS,PHX,JFK,2,6,18,293,1
SG,AMD,HYD,1,2,13,507,0
UK,BLR,CCU,4,6,13,970,1
AA,SFO,DEN,10,3,15,621,0
AS,MIA,DFW,2,2,10,401,0
UA,BOS,ORD,12,4,9,867,1
SG,DEL,GOI,9,5,18,940,1
QP,DEL,BOM,8,1,5,710,1
DL,DEN,LAS,6,1,18,763,0
F9,ATL,SFO,2,6,9,927,1
WN,LAX,DFW,9,2,5,1235,0
AA,ATL,DEN,8,6,20,1319,1
QP,GOI,DEL,11,4,22,940,0
UA,PHX,JFK,9,1,11,763,0
WN,SEA,LAS,7,1,10,564,0
6E,PNQ,CCU,5,3,11,1021,0
6E,PNQ,BOM,4,6,21,90,0
DL,BOS,SEA,9,6,5,431,1
F9,JFK,SEA,6,4,19,292,1
AS,SFO,LAS,2,4,20,414,1
6E,HYD,GOI,10,5,17,187,0
IX,CCU,PNQ,3,5,6,627,1
UK,GOI,AMD,8,6,6,1048,1
AS,SEA,ORD,6,4,18,977,1
UK,BLR,HYD,2,3,13,310,1
UK,CCU,HYD,5,5,22,740,0
AS,DEN,MIA,10,4,19,1359,0
QP,DEL,COK,5,4,6,1280,1
AS,SFO,ATL,12,2,13,930,1
DL,SEA,PHX,5,4,21,1107,0
UA,LAX,ATL,1,4,14,1946,0
AS,BOS,ATL,1,4,18,352,1
IX,GOI,BOM,8,3,14,265,1
NK,SFO,LAS,2,0,5,414,1
WN,PHX,MIA,6,4,22,1172,1
DL,LAS,JFK,4,6,17,428,0
WN,DFW,LAX,10,0,21,1235,1
DL,PHX,SEA,4,0,13,1107,0
F9,JFK,ATL,1,2,9,760,1
UA,DEN,MIA,5,5,18,807,0
SG,BLR,MAA,5,5,11,180,0
AS,LAX,LAS,10,4,19,993,0
B6,DFW,MIA,7,5,18,565,1
NK,ATL,DEN,3,1,14,1380,1
B6,JFK,ATL,6,0,8,760,1
NK,PHX,SEA,11,2,12,1107,0
QP,MAA,COK,5,0,15,340,1
IX,PNQ,CCU,6,4,9,374,1
F9,ORD,DEN,1,3,13,888,0
AS,SEA,DEN,12,6,21,1024,1
6E,HYD,DEL,3,0,7,780,1
UK,BLR,AMD,9,3,7,685,1
IX,CCU,DEL,10,2,22,810,1
AI,MAA,COK,3,1,13,340,0
AS,LAX,ATL,11,5,13,1946,1
UA,SFO,ORD,8,4,5,1331,1
UA,PHX,LAX,7,1,21,1230,1
F9,BOS,MIA,10,5,21,1258,0
AA,ATL,DFW,11,4,15,1020,1
IX,MAA,GOI,11,2,11,1130,0
IX,HYD,PNQ,11,5,20,302,0
AS,ATL,DEN,11,0,18,330,1
SG,GOI,AMD,11,5,18,853,0
F9,DFW,BOS,11,6,18,1320,1
UA,ORD,JFK,9,1,14,740,1
UK,MAA,BOM,11,2,20,640,0
WN,MIA,PHX,10,3,20,742,1
B6,LAX,ATL,3,1,19,1946,1
AI,PNQ,COK,7,4,11,838,1
SG,MAA,HYD,4,6,16,320,0
6E,CCU,HYD,12,2,10,740,1
UK,COK,MAA,4,4,13,340,0
SG,HYD,GOI,5,3,12,902,0
UA,ORD,DEN,12,4,17,888,1
B6,ATL,PHX,10,0,17,457,1
B6,DFW,MIA,4,5,10,469,0
QP,PNQ,GOI,5,5,12,230,0
AI,BOM,DEL,3,1,10,710,1
6E,BLR,DEL,5,1,21,1080,0
F9,SFO,ORD,6,6,16,942,1
UK,CCU,AMD,11,1,17,1180,1
6E,BOM,COK,3,5,19,670,0
UK,GOI,PNQ,9,1,21,230,0
QP,HYD,COK,2,5,11,886,0
SG,MAA,BOM,1,4,10,640,1
AS,LAX,MIA,3,1,6,238,0
DL,MIA,PHX,2,3,19,449,1
B6,LAS,DFW,5,3,16,477,1
6E,DEL,BLR,9,3,7,1080,1
DL,JFK,BOS,7,0,13,187,1
UK,GOI,CCU,8,3,8,1381,0
DL,SEA,ORD,7,1,16,557,0
AI,DEL,PNQ,3,3,17,730,0
AS,LAX,LAS,2,4,5,1050,1
AS,LAS,SEA,1,4,7,335,0
AI,COK,AMD,4,3,13,359,0
UK,BLR,MAA,2,5,7,180,0
6E,MAA,HYD,2,0,14,320,1
WN,LAX,LAS,7,2,21,466,0
F9,SEA,ORD,8,1,6,1317,1
NK,JFK,MIA,11,3,12,1090,1
IX,CCU,PNQ,5,1,10,1356,0
AS,MIA,LAS,2,3,9,1024,1
AA,SFO,DFW,6,1,17,640,1
AS,LAX,LAS,9,2,21,1324,0
IX,GOI,CCU,5,5,6,630,1
B6,BOS,MIA,5,5,22,1258,0
WN,ORD,DFW,10,0,22,1204,1
UK,BLR,AMD,3,6,17,983,0
QP,AMD,GOI,8,6,16,1124,1
UK,PNQ,MAA,9,4,22,1221,0
6E,MAA,COK,7,1,21,340,1
NK,SFO,LAX,11,4,14,337,1
UK,DEL,AMD,10,4,5,470,1
IX,HYD,BLR,7,2,10,310,1
QP,BLR,MAA,2,3,17,180,0
SG,CCU,COK,7,1,19,594,1
B6,BOS,DFW,12,0,15,1109,1
AA,ATL,ORD,4,2,21,606,1
6E,DEL,MAA,7,3,7,1090,0
SG,BOM,MAA,3,4,12,640,1
SG,MAA,AMD,3,6,6,1289,1
AA,DFW,SEA,1,3,7,295,1
WN,BOS,SFO,10,4,17,1371,1
AI,BOM,CCU,5,3,8,1030,1
DL,ATL,SFO,11,2,17,906,0
AI,AMD,DEL,6,4,7,470,1
QP,BOM,BLR,11,2,15,520,1
WN,DFW,LAS,2,6,20,665,0
DL,ORD,BOS,1,0,22,867,1
QP,HYD,PNQ,3,2,18,893,1
6E,GOI,MAA,4,3,6,1060,1
QP,GOI,BLR,3,0,10,310,1
B6,ATL,SFO,1,2,10,296,0
WN,PHX,LAS,5,0,6,256,0
WN,SEA,ATL,2,3,6,577,1
IX,GOI,COK,6,5,22,307,0
AA,ATL,LAX,6,1,16,1946,0
WN,BOS,DEN,3,0,19,1051,1
B6,DEN,ATL,1,4,20,1081,1
AI,GOI,MAA,1,0,11,600,1
6E,BLR,GOI,10,2,20,310,0
SG,BOM,HYD,8,2,17,390,1
AS,LAX,DEN,6,3,22,862,1
SG,COK,BOM,3,3,6,670,0
F9,ATL,MIA,4,3,21,595,1
QP,GOI,CCU,7,1,8,1069,1
SG,BLR,AMD,2,2,5,201,1
6E,BLR,MAA,2,0,20,180,1
6E,GOI,PNQ,3,0,7,230,1
NK,DEN,LAS,8,4,8,205,1
DL,DEN,MIA,3,3,12,475,0
IX,BLR,DEL,4,6,22,1080,1
AI,MAA,PNQ,5,5,12,989,0
IX,AMD,COK,4,2,17,242,0
QP,DEL,PNQ,8,0,12,730,0
QP,BLR,GOI,12,1,6,310,1
QP,PNQ,GOI,11,3,17,230,1
AI,PNQ,GOI,3,4,14,230,1
SG,MAA,CCU,1,4,5,850,1
UA,DFW,PHX,2,1,11,1025,0
AA,BOS,LAS,12,3,16,929,0
6E,COK,PNQ,12,3,19,326,0
SG,HYD,BLR,5,4,7,310,1
IX,AMD,BOM,7,1,10,275,0
B6,ORD,DFW,9,0,10,1332,0
NK,SEA,PHX,1,5,15,1107,0
NK,DFW,SFO,2,2,8,1271,1
NK,LAS,ATL,6,5,12,1118,1
SG,DEL,BOM,12,3,15,710,1
NK,SFO,BOS,12,3,20,369,1
WN,JFK,LAX,7,5,18,2475,1
AA,DEN,MIA,3,5,13,585,0
NK,ORD,SFO,3,1,16,654,1
QP,COK,DEL,5,5,17,1280,0
AI,BLR,MAA,4,2,22,180,1
AI,BLR,AMD,8,4,16,844,1
SG,DEL,AMD,2,2,8,470,0
UA,MIA,ORD,10,4,21,900,0
IX,GOI,COK,3,1,10,792,0
WN,JFK,LAX,7,2,10,2475,1
UK,MAA,HYD,6,4,19,320,1
SG,MAA,COK,11,3,6,340,1
SG,COK,CCU,4,5,11,969,0
AA,MIA,LAX,11,3,10,1248,0
6E,GOI,BLR,8,5,8,310,0
6E,COK,CCU,3,4,9,826,1
B6,MIA,ORD,9,0,17,1003,1
B6,SEA,PHX,4,6,13,1107,1
NK,ORD,ATL,2,3,13,606,1
NK,JFK,LAS,3,6,21,365,1
QP,BOM,HYD,5,0,9,390,1
6E,CCU,MAA,12,3,17,850,1
NK,LAS,BOS,6,5,18,917,1
SG,PNQ,COK,4,4,17,396,1
F9,SEA,ATL,5,3,20,436,0
AS,JFK,ORD,10,2,19,740,1
6E,COK,PNQ,4,6,20,583,1
DL,SEA,DFW,7,0,22,1395,1
F9,ORD,JFK,6,3,10,740,0
DL,DFW,ATL,4,4,16,318,0
UA,BOS,LAX,2,1,8,359,0
UK,MAA,HYD,12,6,12,320,0
NK,PHX,BOS,6,1,6,1351,1
6E,HYD,BOM,1,2,14,390,1
IX,PNQ,CCU,12,3,14,458,0
DL,ATL,LAS,2,5,18,1356,0
UA,MIA,ATL,6,1,21,595,0
UK,HYD,CCU,12,5,5,740,1
6E,MAA,BLR,12,2,5,180,1
B6,DFW,DEN,6,6,5,641,1
UA,DFW,PHX,5,3,7,1182,0
AI,DEL,MAA,10,5,11,1090,0
AA,JFK,LAX,11,5,7,2475,0
AA,BOS,LAX,9,3,18,988,1
F9,MIA,DFW,9,2,17,691,1
IX,BLR,BOM,3,4,22,520,1
DL,MIA,LAX,10,0,15,189,0
DL,BOS,DEN,2,6,21,684,1
AI,DEL,GOI,7,5,22,940,0
F9,ATL,ORD,10,5,15,606,0
F9,SEA,DEN,6,6,14,1024,1
QP,HYD,BLR,10,0,14,310,0
UA,SFO,ORD,9,3,12,1247,0
UK,CCU,BLR,10,0,9,970,0
IX,MAA,BLR,1,5,21,180,0
SG,BOM,PNQ,8,1,6,90,1
NK,ORD,DEN,6,1,10,888,1
